"prev","sens","spec","truepos","falsepos","trueneg","falseneg","pos","neg","ppv","npv"
0.76,0.786,0.906,0.59736,0.02256,0.21744,0.07144,0.61992,0.38008,0.963608207510646,0.572090086297622
0.77,0.786,0.906,0.60522,0.02162,0.20838,0.07238,0.62684,0.37316,0.965509539914492,0.558419980705328
0.78,0.786,0.906,0.61308,0.02068,0.19932,0.07332,0.63376,0.36624,0.967369351173946,0.544233289646134
0.79,0.786,0.906,0.62094,0.01974,0.19026,0.07426,0.64068,0.35932,0.96918898670163,0.529500166982077
0.8,0.786,0.906,0.6288,0.0188,0.1812,0.0752,0.6476,0.3524,0.970969734403953,0.514188422247446
0.81,0.786,0.906,0.63666,0.01786,0.17214,0.07614,0.65452,0.34548,0.972712827721078,0.498263285863147
0.82,0.786,0.906,0.64452,0.01692,0.16308,0.07708,0.66144,0.33856,0.974419448476052,0.481687145557656
0.83,0.786,0.906,0.65238,0.01598,0.15402,0.07802,0.66836,0.33164,0.976090729546951,0.464419249788928
0.84,0.786,0.906,0.66024,0.01504,0.14496,0.07896,0.67528,0.32472,0.977727757374719,0.446415373244642
0.85,0.786,0.906,0.6681,0.0141,0.1359,0.0799,0.6822,0.3178,0.979331574318382,0.427627438640655
0.86,0.786,0.906,0.67596,0.01316,0.12684,0.08084,0.68912,0.31088,0.980903180868354,0.408003088008235
0.87,0.786,0.906,0.68382,0.01222,0.11778,0.08178,0.69604,0.30396,0.982443537727717,0.38748519542045
0.88,0.786,0.906,0.69168,0.01128,0.10872,0.08272,0.70296,0.29704,0.98395356777057,0.366011311607864
0.89,0.786,0.906,0.69954,0.01034,0.09966,0.08366,0.70988,0.29012,0.98543415788584,0.34351302909141
0.9,0.786,0.906,0.7074,0.0094,0.0906,0.0846,0.7168,0.2832,0.986886160714286,0.319915254237288
0.91,0.786,0.906,0.71526,0.00846,0.08154,0.08554,0.72372,0.27628,0.988310396285856,0.295135369914579
0.92,0.786,0.906,0.72312,0.00751999999999999,0.07248,0.08648,0.73064,0.26936,0.989707653563999,0.269082269082269
0.93,0.786,0.906,0.73098,0.00657999999999999,0.06342,0.08742,0.73756,0.26244,0.991078691903032,0.241655235482396
0.94,0.786,0.906,0.73884,0.00563999999999999,0.05436,0.08836,0.74448,0.25552,0.992424242424242,0.212742642454602
0.95,0.786,0.906,0.7467,0.00469999999999999,0.0452999999999999,0.0893,0.7514,0.2486,0.993745009315944,0.182220434432824
0.96,0.786,0.906,0.75456,0.00376,0.03624,0.09024,0.75832,0.24168,0.995041671062348,0.149950347567031
0.97,0.786,0.906,0.76242,0.00282,0.02718,0.09118,0.76524,0.23476,0.996314881605771,0.115777815641506
0.98,0.786,0.906,0.77028,0.00188,0.01812,0.09212,0.77216,0.22784,0.997565271446332,0.0795294943820225
0.99,0.786,0.906,0.77814,0.000940000000000001,0.00906000000000001,0.09306,0.77908,0.22092,0.998793448683062,0.0410103204780011
1,0.786,0.906,0.786,0,0,0.094,0.786,0.214,1,0
